,Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
count,180519,180519.0,180519.0,180519.0,180519.0,180519,180519.0,180519.0,180519,180519,180519,180519,180519,180519.0,180511,180519,180519,180519,180519,180516.0,180519.0,180519,180519.0,180519.0,180519,180519,180519,180519.0,180519,180519.0,180519.0,180519.0,180519.0,180519.0,180519.0,180519.0,180519.0,180519.0,180519.0,180519.0,180519,180519,180519,24840.0,180519.0,180519.0,0.0,180519,180519,180519.0,180519.0,180519,180519
unique,4,,,,,4,,,50,563,2,1,782,,1109,1,3,46,7458,,,11,,,5,3597,164,,65752,,,,,,,,,,,,23,1089,9,,,,,118,118,,,63701,4
top,DEBIT,,,,,Late delivery,,,Cleats,Caguas,EE. UU.,XXXXXXXXX,Mary,,Smith,XXXXXXXXX,Consumer,PR,9126 Wishing Expressway,,,Fan Shop,,,LATAM,Santo Domingo,Estados Unidos,,1/4/2017 2:28,,,,,,,,,,,,Central America,Inglaterra,COMPLETE,,,,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,,,4/17/2015 22:16,Standard Class
freq,69295,,,,,98977,,,24551,66770,111146,180519,65150,,64104,180519,93504,69373,122,,,66861,,,51594,2211,24840,,5,,,,,,,,,,,,28341,6722,59491,,,,,24515,24515,,,10,107752
mean,,3.4976539865609713,2.931846509231715,21.97498863859404,183.1076085077838,,0.5482913155955883,31.85145053983237,,,,,,6691.37949467923,,,,,,35921.12691395776,5.443460245181948,,29.719954662073796,-84.91567468783957,,,,6691.37949467923,,36221.8949030296,692.5097635151978,20.664741121945994,0.10166819055202499,90260.0,141.23254992870068,0.12064663549026416,2.127637533999191,203.77209608617287,183.1076085077838,21.97498863859404,,,,55426.13232689211,692.5097635151978,31.85145053983237,,,,141.23254992870068,0.0,,
std,,1.6237218283741632,1.374449280007978,104.4335257469866,120.04367002812562,,0.49766386328809237,15.64006388338916,,,,,,4162.918105728271,,,,,,37542.46112229252,1.6292460350717795,,9.81364632692288,21.433241200283774,,,,4162.918105728271,,21045.37956885943,336.44680733021875,21.800900954295905,0.07041521532547643,52111.49095928843,139.73249200374275,0.4667956046074935,1.453451481422641,132.27307749970333,120.04367002812562,104.4335257469866,,,,31919.27910072528,336.44680733021875,15.64006388338916,,,,139.73249200374275,0.0,,
min,,0.0,0.0,-4274.97998,7.489999771,,0.0,2.0,,,,,,1.0,,,,,,603.0,2.0,,-33.93755341,-158.0259857,,,,1.0,,1.0,19.0,0.0,0.0,1.0,9.989999771,-2.75,1.0,9.989999771,7.489999771,-4274.97998,,,,1040.0,19.0,2.0,,,,9.989999771,0.0,,
25%,,2.0,2.0,7.0,104.3799973,,0.0,18.0,,,,,,3258.5,,,,,,725.0,4.0,,18.26543236,-98.44631195,,,,3258.5,,18057.0,403.0,5.400000095,0.039999999,45130.5,50.0,0.079999998,1.0,119.9800034,104.3799973,7.0,,,,23464.0,403.0,18.0,,,,50.0,0.0,,
50%,,3.0,4.0,31.52000046,163.9900055,,1.0,29.0,,,,,,6457.0,,,,,,19380.0,5.0,,33.14486313,-76.84790802,,,,6457.0,,36140.0,627.0,14.0,0.100000001,90260.0,59.99000168,0.270000011,1.0,199.9199982,163.9900055,31.52000046,,,,59405.0,627.0,29.0,,,,59.99000168,0.0,,
75%,,5.0,4.0,64.80000305,247.3999939,,1.0,45.0,,,,,,9779.0,,,,,,78207.0,7.0,,39.27961731,-66.37058258,,,,9779.0,,54144.0,1004.0,29.98999977,0.159999996,135389.5,199.9900055,0.360000014,3.0,299.9500122,247.3999939,64.80000305,,,,90008.0,1004.0,45.0,,,,199.9900055,0.0,,
max,,6.0,4.0,911.7999878,1939.98999,,1.0,76.0,,,,,,20757.0,,,,,,99205.0,12.0,,48.78193283,115.2630768,,,,20757.0,,77204.0,1363.0,500.0,0.25,180519.0,1999.98999,0.5,5.0,1999.98999,1939.98999,911.7999878,,,,99301.0,1363.0,76.0,,,,1999.98999,0.0,,
